Role-Tiny-2.002004-0	concrete-methods.t	FAIL	0	0	0
Role-Tiny-2.002004-0	create-hook.t	PASS	2	0	0
Role-Tiny-2.002004-0	does.t	PASS	14	0	0
Role-Tiny-2.002004-0	extend-role-tiny.t	PASS	1	0	0
Role-Tiny-2.002004-0	extend.t	PARTIAL	2	2	0
Role-Tiny-2.002004-0	load-module.t	PARTIAL	1	3	0
Role-Tiny-2.002004-0	make-role.t	PASS	7	0	0
Role-Tiny-2.002004-0	method-conflicts.t	PASS	4	0	0
Role-Tiny-2.002004-0	namespace-clean.t	FAIL	0	0	0
Role-Tiny-2.002004-0	overload.t	PARTIAL	2	13	0
Role-Tiny-2.002004-0	proto.t	FAIL	0	0	0
Role-Tiny-2.002004-0	role-basic-basic.t	PASS	2	0	0
Role-Tiny-2.002004-0	role-basic-bugs.t	PARTIAL	14	1	0
Role-Tiny-2.002004-0	role-basic-composition.t	PARTIAL	10	3	0
Role-Tiny-2.002004-0	role-basic-exceptions.t	PASS	4	0	0
Role-Tiny-2.002004-0	role-duplication.t	PARTIAL	1	1	0
Role-Tiny-2.002004-0	role-long-package-name.t	PASS	7	0	0
Role-Tiny-2.002004-0	role-tiny-composition.t	PASS	2	0	0
Role-Tiny-2.002004-0	role-tiny-with.t	PARTIAL	5	1	0
Role-Tiny-2.002004-0	role-tiny.t	PASS	22	0	0
Role-Tiny-2.002004-0	role-with-inheritance.t	PASS	4	0	0
Role-Tiny-2.002004-0	stub.t	PARTIAL	3	1	0
Role-Tiny-2.002004-0	subclass.t	FAIL	0	0	0
Scalar-List-Utils-1.70-0	00version.t	PASS	4	0	0
Scalar-List-Utils-1.70-0	any-all.t	PASS	12	0	0
Scalar-List-Utils-1.70-0	blessed.t	PASS	12	0	0
Scalar-List-Utils-1.70-0	dualvar.t	PARTIAL	10	6	0
Scalar-List-Utils-1.70-0	exotic_names.t	FAIL	0	0	0
Scalar-List-Utils-1.70-0	first.t	PARTIAL	18	6	0
Scalar-List-Utils-1.70-0	getmagic-once.t	PARTIAL	2	4	0
Scalar-List-Utils-1.70-0	head-tail.t	PARTIAL	36	6	0
Scalar-List-Utils-1.70-0	isvstring.t	PARTIAL	2	1	0
Scalar-List-Utils-1.70-0	lln.t	PARTIAL	15	4	0
Scalar-List-Utils-1.70-0	max.t	PASS	5	0	0
Scalar-List-Utils-1.70-0	maxstr.t	PASS	1	0	0
Scalar-List-Utils-1.70-0	mesh.t	PASS	3	0	0
Scalar-List-Utils-1.70-0	min.t	PASS	5	0	0
Scalar-List-Utils-1.70-0	minstr.t	PASS	1	0	0
Scalar-List-Utils-1.70-0	openhan.t	PARTIAL	9	2	0
Scalar-List-Utils-1.70-0	pair.t	PARTIAL	12	7	0
Scalar-List-Utils-1.70-0	product.t	PARTIAL	11	1	0
Scalar-List-Utils-1.70-0	prototype.t	PARTIAL	9	4	0
Scalar-List-Utils-1.70-0	readonly.t	PARTIAL	7	4	0
Scalar-List-Utils-1.70-0	reduce.t	PARTIAL	23	9	0
Scalar-List-Utils-1.70-0	reductions.t	FAIL	0	0	0
Scalar-List-Utils-1.70-0	refaddr.t	PARTIAL	23	9	0
Scalar-List-Utils-1.70-0	reftype.t	FAIL	0	0	0
Scalar-List-Utils-1.70-0	rt-96343.t	PASS	2	0	0
Scalar-List-Utils-1.70-0	sample.t	FAIL	0	0	0
Scalar-List-Utils-1.70-0	scalarutil-proto.t	PARTIAL	4	9	0
Scalar-List-Utils-1.70-0	shuffle.t	PARTIAL	6	1	0
Scalar-List-Utils-1.70-0	stack-corruption.t	PASS	1	0	0
Scalar-List-Utils-1.70-0	subname.t	FAIL	0	0	124
Scalar-List-Utils-1.70-0	sum.t	PASS	7	0	0
Scalar-List-Utils-1.70-0	sum0.t	PASS	3	0	0
Scalar-List-Utils-1.70-0	tainted.t	PARTIAL	2	3	0
Scalar-List-Utils-1.70-0	undefined-block.t	FAIL	0	18	0
Scalar-List-Utils-1.70-0	uniq.t	PARTIAL	22	9	0
Scalar-List-Utils-1.70-0	uniqnum.t	PARTIAL	13	10	0
Scalar-List-Utils-1.70-0	weak.t	PARTIAL	13	6	0
Scalar-List-Utils-1.70-0	zip.t	PARTIAL	1	2	0
Sub-Uplevel-0.2800-0	00-report-prereqs.t	FAIL	0	0	0
Sub-Uplevel-0.2800-0	01_die_check.t	FAIL	0	1	0
Sub-Uplevel-0.2800-0	02_uplevel.t	PARTIAL	2	3	0
Sub-Uplevel-0.2800-0	03_nested_uplevels.t	PARTIAL	1	103	0
Sub-Uplevel-0.2800-0	04_honor_later_override.t	PARTIAL	4	2	0
Sub-Uplevel-0.2800-0	05_honor_prior_override.t	PARTIAL	6	2	0
Sub-Uplevel-0.2800-0	06_db_args.t	PASS	1	0	0
Sub-Uplevel-0.2800-0	07_uplevel_too_high.t	PASS	1	0	0
Sub-Uplevel-0.2800-0	08_exporter.t	FAIL	0	0	0
Sub-Uplevel-0.2800-0	09_emptylist.t	PARTIAL	2	1	0
Try-Tiny-0.32-0	00-report-prereqs.t	PASS	1	0	0
