# taken-at: 70d9581 (s365, full --all run, gen v2-118, timeouts registry active)
# This is the CURRENT state.  baselines/perl-suite-run.tsv is left as the v1-era BAR
# that #254 measures against — do not confuse the two.
# Headline: 88 OK files (bar 87); io/through.t 942/0 OK; op/while.t 20/6 (bar
# 11/4 TIMEOUT); op/attrproto.t 17/28 = bar.  Whole-run PCL row totals are NOT
# comparable across runs: the uni/re giants swing with per-file TIMEOUTs and
# with Storable being unavailable, which is why the sweep gate — not this file
# — is the regression signal.
# file  P_ok  P_notok  C_ok  C_notok  status  sig   [P=PERL, C=PCL]
# NOTAP = PERL produced no TAP (row not comparable; says nothing bad about PCL)
# XDIFF = expected divergence, baselines/perl-suite-expected.tsv (a blessed not-supported.md gap)
# FIXTURE = harness artifact, baselines/perl-suite-fixture.tsv (the MEASUREMENT differs, not PCL)
# NOT-RUN with QUARANTINED = deliberately not run this session; UNMEASURED, never passing
io/defout.t	22	0	21	1	XDIFF	not-supported.md §format / write report formatting — t7 $- (FORMAT_LINES_LEFT) is only nonzero after a real write(); $- is a static 0 because formats are not implemented
io/dup.t	29	0	4	0	DIFF	
io/eintr.t	0	0	0	0	NOTAP	
io/eintr_print.t	0	0	0	0	NOTAP	crash:simple-error: Can't locate loadable object for module Time::HiRes in @INC
io/errno.t	16	0	16	0	OK	
io/errnosig.t	1	0	0	1	DIFF	
io/fflush.t	7	0	2	2	DIFF	undef-fn:main::pl-_create_runperl
io/fs.t	61	0	56	2	DIFF	crash:sb-ext:delete-file-error: Could not delete the file "/tmp/pcl-test-N-N": Is a directory
io/getcwd.t	0	0	0	0	NOTAP	
io/inplace.t	8	0	2	6	DIFF	
io/iofile.t	3	0	1	2	DIFF	
io/iprefix.t	2	0	0	2	DIFF	
io/layers.t	55	0	0	0	DIFF	unbound:STDIN
io/msg.t	18	0	0	0	XDIFF	crash:simple-error: Can't locate loadable object for module IPC::SysV in @INC | not-supported.md §DynaLoader / XS binary extensions — IPC::SysV is XS; needs the pclxs bridge (docs/xs-shim-design.md). The generic bugs behind the old crash (labeled-loop goto, empty %SIG) were fixed s316.
io/nargv.t	7	0	11	2	DIFF	
io/open.t	188	0	44	7	DIFF	unbound:$f
io/openpid.t	10	0	8	2	DIFF	
io/paragraph_mode.t	80	0	80	0	OK	
io/perlio.t	46	2	22	0	DIFF	crash:sb-int:simple-file-error: Error opening #P"/tmp/ZktNZHNdWu/t/": Is a directory
io/perlio_fail.t	15	0	6	9	DIFF	
io/perlio_leaks.t	8	4	0	0	DIFF	crash:simple-error: No such file or directory at /home/bernt/perlN/perlbrew/build/perl-N.N.N/perl-N.N.N/t/io/p
io/perlio_open.t	10	0	0	0	DIFF	crash:sb-int:compiled-program-error: Execution of a form compiled with errors. Form: (p-open (p-my $fh "+>" (let ((*wantarray* 
io/pipe.t	27	0	8	0	DIFF	crash:sb-int:broken-pipe: Couldn't write to #<sb-sys:fd-stream for "descriptor N" {N}>: Broken pipe
io/print.t	24	0	23	1	DIFF	
io/pvbm.t	28	0	23	5	DIFF	
io/read.t	2	0	2	0	OK	
io/say.t	13	0	13	0	OK	
io/scalar.t	128	0	96	32	DIFF	
io/scalar_ungetc.t	19	0	1	1	DIFF	crash:simple-error: Can't locate object method "ungetc" via package "main" at - line N.
io/sem.t	22	0	0	0	XDIFF	crash:simple-error: Can't locate loadable object for module IPC::SysV in @INC | not-supported.md §DynaLoader / XS binary extensions — IPC::SysV is XS; needs the pclxs bridge (docs/xs-shim-design.md). The generic bugs behind the old crash (labeled-loop goto, empty %SIG) were fixed s316.
io/semctl.t	2	0	0	0	DIFF	
io/shm.t	21	0	0	0	TRANSPILE	TRANSPILE-FAIL | NOT fully registered: 1 unregistered diverging row(s): *no-log* | not-supported.md §DynaLoader / XS binary extensions — IPC::SysV is XS; needs the pclxs bridge (docs/xs-shim-design.md). The generic bugs behind the old crash (labeled-loop goto, empty %SIG) were fixed s316.
io/socket.t	45	0	0	0	DIFF	
io/socketpair.t	8	0	0	0	DIFF	
io/tell.t	36	0	26	0	DIFF	crash:sb-int:simple-file-error: The path #P"/tmp/ZktNZHNdWu/t/>/tmp/pcl-test-N-N" does not exist.
io/through.t	942	0	942	0	OK	
io/utf8.t	62	0	13	14	DIFF	undef-fn:bytes::pl-length
mro/basic.t	66	0	12	13	XDIFF	crash:simple-error: Inconsistent hierarchy during CN merge of 'ISACLEAR' | not-supported.md §mro — C3-only: DFS orders + get_mro 'dfs' default assertions
mro/basic_01_c3.t	4	0	0	1	XDIFF	crash:simple-error: Can't locate object method "hello" via package "Diamond_D" at - line N. | not-supported.md §mro — C3-only, no mro:: API / next::method (provider planned: docs/mro-plan.md)
mro/basic_01_c3_utf8.t	4	0	0	1	XDIFF	crash:simple-error: Can't locate object method "hèllò" via package "Ｄiᚪၚd_D" at - line N. | not-supported.md §mro — C3-only, no mro:: API / next::method (provider planned: docs/mro-plan.md)
mro/basic_01_dfs.t	4	0	0	1	XDIFF	crash:simple-error: Can't locate object method "hello" via package "Diamond_D" at - line N. | not-supported.md §mro — C3-only, no mro:: API / next::method (provider planned: docs/mro-plan.md)
mro/basic_01_dfs_utf8.t	4	0	0	1	XDIFF	crash:simple-error: Can't locate object method "hèllò" via package "Ｄiᚪၚd_D" at - line N. | not-supported.md §mro — C3-only, no mro:: API / next::method (provider planned: docs/mro-plan.md)
mro/basic_02_c3.t	10	0	3	3	XDIFF	crash:simple-error: Can't locate object method "C_or_D" via package "Test::A" at - line N. | not-supported.md §mro — C3-only, no mro:: API / next::method (provider planned: docs/mro-plan.md)
mro/basic_02_c3_utf8.t	10	0	3	3	XDIFF	crash:simple-error: Can't locate object method "ƈ_or_Ḋ" via package "텟ţ::ଅ" at - line N. | not-supported.md §mro — C3-only, no mro:: API / next::method (provider planned: docs/mro-plan.md)
mro/basic_02_dfs.t	10	0	3	3	XDIFF	crash:simple-error: Can't locate object method "C_or_D" via package "Test::A" at - line N. | not-supported.md §mro — C3-only, no mro:: API / next::method (provider planned: docs/mro-plan.md)
mro/basic_02_dfs_utf8.t	10	0	3	3	XDIFF	crash:simple-error: Can't locate object method "ƈ_or_Ḋ" via package "텟ţ::ଅ" at - line N. | not-supported.md §mro — C3-only, no mro:: API / next::method (provider planned: docs/mro-plan.md)
mro/basic_03_c3.t	4	0	0	1	XDIFF	crash:simple-error: Can't locate object method "O_or_D" via package "Test::A" at - line N. | not-supported.md §mro — C3-only, no mro:: API / next::method (provider planned: docs/mro-plan.md)
